,id,price,property_type,room_type,listing_duration,hosting_duration,calculated_host_listings_count,guests_included,extra_people,availability_365,availability_60,total_amenities,Pool,Family/kid friendly,Dryer,TV,Breakfast,Smoke detector,Free parking on premises,Paid parking on premises,Essentials,Pets allowed,Shampoo,Gym,Suitable for events,Free street parking,Laptop friendly workspace,minimum_nights,maximum_nights,neighbourhood_group_cleansed,number_of_reviews_ltm,reviews_per_month,review_scores_location,review_scores_cleanliness,review_scores_accuracy,review_scores_value,latitude,longitude
0,49091,81,Apartment,Private room,0.0,1097.0,2,1,14,365,60,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,360,North Region,0,0.01,8.0,10.0,10.0,8.0,1.44255,103.7958
1,50646,80,Apartment,Private room,252.0,1570.0,1,2,20,365,60,14,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,90,730,Central Region,0,0.28,9.0,10.0,9.0,9.0,1.33235,103.78521
2,56334,68,Apartment,Private room,1559.0,1807.0,2,1,14,365,60,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,14,North Region,0,0.21,8.0,10.0,10.0,9.0,1.44246,103.79667
3,71609,200,Tourism,Private room,2575.0,2899.0,9,4,27,353,51,27,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1125,East Region,2,0.13,8.0,8.0,8.0,8.0,1.34541,103.95712
4,71896,92,House,Private room,2206.0,2388.0,9,1,20,353,51,23,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1125,East Region,0,0.21,8.0,8.0,8.0,8.0,1.34567,103.95963
5,71903,102,House,Private room,2970.0,3065.0,9,1,20,348,51,20,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1125,East Region,8,0.35,9.0,9.0,9.0,9.0,1.34702,103.96103
6,71907,203,House,Private room,2772.0,2899.0,9,4,34,155,39,21,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,365,East Region,3,0.23,8.0,8.0,9.0,8.0,1.34348,103.96337
7,151547,120,Apartment,Private room,1378.0,1413.0,1,9,120,365,60,14,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,7,1000,Central Region,0,0.16,10.0,9.0,10.0,9.0,1.30175,103.83609
8,241503,51,Townhouse,Private room,2689.0,2836.0,4,1,0,229,18,37,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,30,1125,East Region,1,1.92,10.0,10.0,10.0,10.0,1.32304,103.91363
9,241508,58,Townhouse,Private room,2734.0,2803.0,4,1,0,206,2,34,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,30,1125,East Region,3,2.13,10.0,10.0,10.0,10.0,1.32458,103.91163
10,241510,39,Townhouse,Private room,2704.0,2836.0,4,1,0,235,24,35,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,30,1125,East Region,4,2.58,10.0,10.0,10.0,10.0,1.32461,103.91191
11,275343,41,Apartment,Private room,2192.0,2705.0,34,1,0,308,3,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,15,180,Central Region,3,0.24,9.0,9.0,8.0,9.0,1.28875,103.80814
12,275344,41,Apartment,Private room,2331.0,2485.0,34,1,0,292,0,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,30,100,Central Region,1,0.11,9.0,10.0,10.0,9.0,1.28837,103.81099
13,294281,65,Apartment,Private room,2654.0,2693.0,6,1,15,355,50,29,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,720,Central Region,11,1.35,9.0,9.0,9.0,9.0,1.31125,103.83816
14,301247,41,Apartment,Private room,2052.0,2712.0,1,1,0,44,15,17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1125,Central Region,43,1.37,10.0,9.0,10.0,9.0,1.31724,103.88958
15,320422,100,Apartment,Private room,1118.0,2333.0,4,2,40,365,60,25,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,14,East Region,0,0.04,10.0,10.0,8.0,10.0,1.32224,103.94048
16,324945,45,Apartment,Private room,2400.0,2627.0,34,1,0,281,5,14,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,30,365,Central Region,1,0.15,8.0,9.0,9.0,9.0,1.28976,103.80896
17,330089,41,Apartment,Private room,1954.0,2711.0,34,1,0,318,13,17,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,30,180,Central Region,2,0.15,9.0,9.0,9.0,9.0,1.28677,103.81244
18,330094,56,Apartment,Entire home/apt,1876.0,2474.0,34,4,25,365,60,18,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,120,1125,North-East Region,2,0.1,8.0,9.0,7.0,8.0,1.3705,103.88615
19,330095,30,Apartment,Private room,1012.0,1733.0,34,1,0,297,0,16,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,90,1125,Central Region,0,0.04,9.0,9.0,10.0,10.0,1.28537,103.81087
20,344803,47,House,Private room,2638.0,3047.0,9,1,14,357,56,30,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,365,East Region,15,0.47,9.0,9.0,9.0,9.0,1.34943,103.95951
21,369141,60,Other,Private room,2077.0,2730.0,6,1,15,0,0,27,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,2,1125,Central Region,22,1.18,9.0,9.0,9.0,9.0,1.3115,103.83759
22,369145,60,Townhouse,Private room,2627.0,2741.0,6,1,15,357,52,28,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,365,Central Region,22,1.74,10.0,9.0,9.0,9.0,1.31159,103.83805
23,395191,56,Apartment,Private room,1469.0,1966.0,1,2,0,364,59,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,365,Central Region,0,0.38,9.0,8.0,9.0,8.0,1.29345,103.83562
24,423875,102,House,Private room,2021.0,2679.0,9,1,20,287,0,38,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1125,East Region,0,0.19,9.0,9.0,9.0,9.0,1.34838,103.9592
25,553229,51,Condominium,Private room,2442.0,2852.0,3,1,14,329,24,35,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2,730,West Region,14,0.23,9.0,9.0,10.0,10.0,1.34135,103.71139
26,604966,269,Apartment,Entire home/apt,1963.0,1997.0,1,1,0,362,57,25,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,4,90,Central Region,0,0.13,9.0,8.0,9.0,9.0,1.33171,103.79383
27,606784,81,Apartment,Private room,1743.0,2860.0,1,2,30,77,60,26,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,11,East Region,27,1.12,9.0,10.0,10.0,9.0,1.34153,103.95775
28,648183,74,Apartment,Private room,1904.0,2212.0,1,1,0,25,2,41,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,3,90,Central Region,0,0.66,10.0,10.0,10.0,10.0,1.28358,103.83361
29,696136,100,House,Private room,1783.0,2129.0,1,1,10,91,60,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1125,Central Region,0,0.34,10.0,9.0,9.0,9.0,1.31016,103.79853
30,746929,172,Condominium,Entire home/apt,2249.0,2432.0,1,4,68,48,10,48,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,5,365,East Region,16,1.25,10.0,10.0,10.0,10.0,1.30792,103.92287
31,747816,149,Condominium,Private room,2371.0,2393.0,5,1,59,316,11,34,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,3,1124,Central Region,3,0.33,10.0,9.0,9.0,9.0,1.27689,103.84636
32,756267,165,Apartment,Private room,2383.0,2722.0,5,1,0,163,37,24,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,2,1125,Central Region,8,0.84,9.0,10.0,9.0,9.0,1.30377,103.89956
33,756300,43,Apartment,Private room,1903.0,1923.0,1,1,15,0,0,35,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,30,North-East Region,0,0.45,9.0,9.0,9.0,9.0,1.35001,103.87161
34,764599,50,Condominium,Private room,2289.0,2410.0,1,1,14,344,44,48,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,2,1125,Central Region,11,0.56,10.0,10.0,9.0,9.0,1.34143,103.84945
35,815685,41,Apartment,Private room,2082.0,2662.0,34,1,0,313,8,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,30,270,Central Region,1,0.16,8.0,8.0,7.0,8.0,1.28909,103.80749
36,819034,301,Apartment,Entire home/apt,1841.0,2223.0,5,1,0,155,31,23,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,30,Central Region,0,0.47,10.0,10.0,10.0,10.0,1.30529,103.9042
37,819044,139,Apartment,Private room,2337.0,2695.0,5,1,0,145,33,26,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,2,30,Central Region,3,0.86,10.0,9.0,10.0,9.0,1.30392,103.89988
38,822413,250,Apartment,Entire home/apt,1823.0,1938.0,3,4,20,338,33,11,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,90,1125,Central Region,0,0.12,10.0,9.0,9.0,9.0,1.29839,103.82808
39,833289,150,Condominium,Private room,1053.0,2238.0,1,1,0,144,0,20,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1125,Central Region,1,0.05,10.0,10.0,10.0,10.0,1.27681,103.82381
40,881253,65,Apartment,Private room,2308.0,2579.0,103,1,40,345,40,35,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,28,1124,Central Region,1,0.05,9.0,7.0,8.0,9.0,1.28291,103.84284
41,888196,237,Apartment,Entire home/apt,1099.0,1267.0,1,2,34,79,0,26,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,5,1125,Central Region,0,0.19,9.0,9.0,9.0,9.0,1.31314,103.84081
42,902669,35,Apartment,Private room,1049.0,2512.0,103,1,10,316,19,33,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18,365,Central Region,1,0.13,9.0,8.0,8.0,9.0,1.31525,103.88176
43,918880,60,Apartment,Private room,1535.0,2092.0,1,1,50,364,59,35,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,30,North-East Region,2,0.39,9.0,10.0,10.0,9.0,1.36885,103.8731
44,922138,202,Condominium,Entire home/apt,1553.0,1936.0,3,1,0,279,0,21,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,7,1124,Central Region,0,0.09,10.0,9.0,10.0,10.0,1.27529,103.84494
45,922509,60,Apartment,Private room,402.0,1909.0,103,1,10,341,36,35,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,20,365,Central Region,0,0.17,10.0,10.0,10.0,10.0,1.28491,103.84209
46,963342,35,Condominium,Private room,1365.0,2194.0,2,1,0,337,32,21,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,30,1125,North-East Region,3,0.12,9.0,8.0,8.0,9.0,1.37369,103.87847
47,982909,70,Apartment,Private room,2269.0,2348.0,3,1,30,190,8,39,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,2,45,Central Region,42,2.84,9.0,10.0,10.0,10.0,1.33334,103.8327
48,1024986,139,Apartment,Entire home/apt,2048.0,2267.0,1,1,10,218,19,51,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,365,Central Region,59,1.92,10.0,10.0,10.0,9.0,1.29349,103.83837
49,1060046,49,Apartment,Private room,2134.0,2250.0,2,1,0,124,13,27,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,3,365,West Region,1,0.21,9.0,9.0,10.0,9.0,1.38123,103.76874
50,1081816,250,Apartment,Entire home/apt,331.0,2086.0,1,2,27,133,12,44,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1125,Central Region,0,0.64,10.0,10.0,10.0,10.0,1.31801,103.82868
51,1142414,47,Apartment,Private room,12.0,1374.0,103,1,10,350,45,30,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,18,365,Central Region,0,0.05,9.0,6.0,5.0,6.0,1.31135,103.85946
52,1178486,80,Condominium,Private room,604.0,613.0,1,1,25,0,0,36,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,90,1125,Central Region,0,0.19,9.0,10.0,10.0,10.0,1.29638,103.87282
53,1183421,230,Tourism,Entire home/apt,1686.0,1882.0,2,1,0,179,58,23,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,90,1125,Central Region,1,0.41,10.0,9.0,9.0,9.0,1.28708,103.84444
54,1199033,190,Condominium,Entire home/apt,2150.0,2799.0,1,1,0,240,11,49,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,8,60,Central Region,8,0.39,9.0,9.0,10.0,9.0,1.29891,103.88681
55,1210268,320,Serviced apartment,Entire home/apt,1971.0,2198.0,18,1,0,318,13,51,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,7,999,Central Region,6,0.63,9.0,9.0,9.0,9.0,1.31693,103.82636
56,1229614,149,Serviced apartment,Entire home/apt,1976.0,2164.0,18,1,0,353,56,55,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,7,999,Central Region,10,0.43,10.0,10.0,10.0,9.0,1.31503,103.82614
57,1233249,240,Serviced apartment,Entire home/apt,1971.0,2153.0,18,1,0,334,40,52,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,7,999,Central Region,8,0.41,9.0,9.0,9.0,9.0,1.31507,103.82704
58,1242205,137,Townhouse,Private room,2150.0,2469.0,2,1,20,0,0,32,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,6,1125,Central Region,3,0.14,9.0,9.0,10.0,9.0,1.31,103.90321
59,1244654,58,Apartment,Private room,37.0,1613.0,103,1,10,0,0,33,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,28,365,Central Region,0,0.12,10.0,8.0,10.0,10.0,1.28485,103.84347
60,1249555,56,Apartment,Private room,0.0,1617.0,103,1,10,353,48,31,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,28,365,Central Region,0,0.03,10.0,10.0,10.0,10.0,1.31213,103.8561
61,1261443,65,Apartment,Private room,249.0,2023.0,103,1,10,320,15,36,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,28,365,Central Region,0,0.11,10.0,10.0,10.0,10.0,1.28407,103.8436
62,1271360,110,Tourism,Private room,1374.0,2190.0,2,2,0,326,23,57,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,3,365,Central Region,10,0.43,9.0,9.0,10.0,9.0,1.28128,103.80425
63,1277842,60,House,Private room,1526.0,1749.0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1125,Central Region,0,0.11,10.0,8.0,7.0,7.0,1.29201,103.76936
64,1277919,50,Apartment,Shared room,946.0,1993.0,9,1,0,305,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1125,Central Region,1,0.29,9.0,8.0,8.0,9.0,1.29213,103.76913
65,1302185,129,Apartment,Entire home/apt,2135.0,2147.0,11,2,20,291,7,56,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,30,1125,Central Region,5,1.14,9.0,10.0,10.0,10.0,1.31511,103.88947
66,1306210,49,House,Private room,762.0,925.0,24,1,10,54,0,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,365,365,Central Region,0,0.07,10.0,10.0,10.0,10.0,1.31859,103.80578
67,1315867,70,Apartment,Private room,2139.0,2422.0,1,1,0,316,13,37,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,2,1000,East Region,5,0.99,9.0,10.0,10.0,10.0,1.31259,103.91067
68,1321608,58,House,Private room,422.0,615.0,24,1,15,54,0,10,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,365,1285,Central Region,0,0.03,10.0,10.0,10.0,10.0,1.31548,103.80873
69,1322758,58,House,Private room,0.0,678.0,24,2,25,54,0,11,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1345,Central Region,0,0.02,10.0,10.0,10.0,10.0,1.31804,103.8054
70,1334769,43,House,Private room,846.0,906.0,24,1,25,84,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,Central Region,0,0.18,10.0,9.0,10.0,9.0,1.31801,103.80745
71,1363204,60,Apartment,Private room,1125.0,1609.0,103,1,10,324,19,35,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,28,365,Central Region,0,0.04,10.0,6.0,9.0,9.0,1.28432,103.84334
72,1370765,49,Apartment,Private room,0.0,1251.0,24,1,10,364,59,24,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,90,1285,North Region,0,0.03,10.0,10.0,10.0,10.0,1.42977,103.78311
73,1370803,56,Apartment,Private room,695.0,797.0,24,1,15,364,59,27,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,90,1125,North Region,0,0.06,10.0,9.0,9.0,9.0,1.44412,103.76859
74,1370834,28,Apartment,Private room,540.0,809.0,24,1,10,358,53,24,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,90,1125,North Region,0,0.03,10.0,10.0,10.0,10.0,1.43568,103.77544
75,1370852,28,Apartment,Private room,56.0,154.0,24,1,16,364,59,26,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,90,1125,North Region,0,0.04,7.0,8.0,8.0,8.0,1.42275,103.78756
76,1388613,50,Condominium,Private room,0.0,947.0,1,1,10,363,60,43,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,1125,Central Region,0,0.02,10.0,10.0,10.0,10.0,1.34626,103.77075
77,1407407,28,Apartment,Private room,1331.0,1645.0,24,1,0,364,59,21,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,90,1125,North Region,0,0.08,8.0,8.0,9.0,8.0,1.42426,103.7777
78,1407454,35,Apartment,Private room,1178.0,1288.0,24,1,0,364,59,20,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,90,1125,North Region,0,0.07,9.0,9.0,10.0,9.0,1.42269,103.77639
79,1407465,24,Condominium,Private room,1059.0,1547.0,24,1,0,364,59,16,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,90,365,North Region,0,0.16,7.0,9.0,8.0,7.0,1.42759,103.77932
80,1466685,45,Apartment,Private room,2064.0,2345.0,1,1,0,21,8,13,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,90,365,Central Region,2,0.39,9.0,9.0,9.0,9.0,1.3305,103.8424
81,1485189,102,Condominium,Private room,1864.0,2133.0,1,2,47,57,26,28,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,5,365,Central Region,8,0.78,9.0,10.0,9.0,9.0,1.30768,103.82017
82,1508829,41,Apartment,Private room,941.0,1682.0,103,1,10,345,40,32,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18,365,Central Region,0,0.13,10.0,9.0,8.0,8.0,1.30774,103.86332
83,1521198,74,Apartment,Private room,1207.0,2071.0,1,1,0,90,59,19,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,5,30,Central Region,3,0.49,10.0,9.0,9.0,10.0,1.30844,103.85875
84,1599599,301,Apartment,Entire home/apt,1337.0,2110.0,30,5,30,343,38,19,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1125,Central Region,3,0.16,10.0,9.0,9.0,8.0,1.30341,103.83365
85,1615074,66,Apartment,Private room,357.0,2478.0,103,1,10,320,15,35,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,28,365,Central Region,1,0.19,9.0,8.0,9.0,8.0,1.28328,103.84329
86,1622505,165,Tourism,Private room,1885.0,2596.0,5,1,0,150,25,30,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,30,Central Region,8,0.39,10.0,10.0,10.0,10.0,1.30415,103.90192
87,1647014,89,Tourism,Private room,2062.0,2112.0,2,1,0,334,29,40,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,2,1125,Central Region,22,1.09,9.0,10.0,10.0,9.0,1.33917,103.82306
88,1654840,89,Other,Private room,172.0,1574.0,7,3,30,169,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1125,Central Region,0,0.08,9.0,7.0,7.0,8.0,1.30292,103.858
89,1678744,50,Other,Shared room,2039.0,2105.0,5,1,0,358,54,40,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,14,Central Region,43,1.92,10.0,8.0,9.0,9.0,1.28425,103.8432
90,1678754,301,Other,Shared room,901.0,1637.0,5,6,25,317,18,42,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,14,Central Region,0,0.04,10.0,9.0,10.0,10.0,1.28446,103.8446
91,1678755,50,Other,Shared room,1974.0,2108.0,5,1,0,364,59,41,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,14,Central Region,26,1.22,10.0,9.0,9.0,9.0,1.28467,103.84327
92,1715479,195,Condominium,Entire home/apt,1596.0,1900.0,1,4,0,296,15,25,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,14,90,Central Region,3,0.18,10.0,9.0,10.0,9.0,1.29857,103.84748
93,1719704,56,Apartment,Private room,992.0,2568.0,103,1,10,328,23,32,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,18,365,Central Region,2,0.09,9.0,6.0,7.0,8.0,1.28459,103.84217
94,1766900,74,Apartment,Private room,683.0,1878.0,20,2,30,332,27,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1125,Central Region,2,0.38,10.0,7.0,7.0,8.0,1.30626,103.83994
95,1804722,32,Apartment,Private room,0.0,274.0,1,1,0,364,59,14,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,180,720,Central Region,0,0.02,10.0,8.0,10.0,10.0,1.31909,103.85741
96,1805143,162,Apartment,Entire home/apt,1687.0,1804.0,1,2,18,327,22,48,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3,1125,Central Region,2,0.28,9.0,9.0,10.0,9.0,1.31435,103.88617
97,1816463,88,House,Private room,1695.0,3047.0,9,1,27,344,39,28,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1125,East Region,4,0.14,9.0,8.0,9.0,9.0,1.34566,103.95994
98,1833950,160,Serviced apartment,Entire home/apt,1946.0,2182.0,18,1,0,361,56,53,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,7,365,Central Region,8,0.33,9.0,9.0,10.0,9.0,1.31742,103.82572
99,1848152,50,Apartment,Private room,1390.0,2194.0,1,1,20,0,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,150,Central Region,0,0.09,9.0,8.0,9.0,10.0,1.2819,103.83849
100,1857229,253,House,Private room,768.0,3049.0,9,6,27,339,39,35,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1125,East Region,3,0.15,10.0,8.0,9.0,10.0,1.34574,103.95945
101,1866404,51,House,Private room,487.0,811.0,24,1,7,0,0,14,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,365,365,Central Region,0,0.06,10.0,10.0,8.0,10.0,1.31856,103.80737
102,1870126,53,House,Private room,721.0,948.0,24,2,15,0,0,12,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,365,365,Central Region,0,0.06,10.0,10.0,8.0,9.0,1.31689,103.80634
103,1887198,219,Apartment,Entire home/apt,234.0,1781.0,2,2,50,253,0,32,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,3,180,Central Region,2,0.64,10.0,9.0,10.0,10.0,1.28968,103.84632
104,1900478,41,Apartment,Private room,0.0,1771.0,103,1,10,322,17,34,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,28,365,Central Region,0,0.04,10.0,10.0,10.0,10.0,1.31539,103.88257
105,1902729,68,House,Private room,447.0,1026.0,3,1,0,362,57,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180,1125,East Region,0,0.06,10.0,10.0,10.0,9.0,1.31944,103.91529
106,1902793,118,House,Private room,7.0,1017.0,3,1,0,363,58,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180,1125,East Region,0,0.05,9.0,9.0,9.0,9.0,1.32249,103.92316
107,1903545,56,House,Private room,0.0,341.0,24,2,25,0,0,12,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,365,Central Region,0,0.02,10.0,8.0,10.0,10.0,1.32016,103.80664
108,1941719,129,Condominium,Private room,1934.0,2433.0,5,1,59,333,28,52,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,3,1123,Central Region,5,1.22,10.0,9.0,9.0,9.0,1.27539,103.84491
109,2001199,139,Apartment,Entire home/apt,243.0,1129.0,2,1,0,0,0,22,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,5,1125,Central Region,0,0.05,9.0,10.0,10.0,10.0,1.3377,103.88248
110,2009008,68,House,Private room,426.0,608.0,3,1,0,365,60,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1125,East Region,0,0.08,9.0,10.0,10.0,9.0,1.32111,103.92206
111,2029278,100,Condominium,Private room,73.0,450.0,5,1,25,329,24,31,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,3,1125,West Region,0,0.05,9.0,10.0,10.0,9.0,1.31005,103.76144
112,2030544,240,Apartment,Entire home/apt,600.0,849.0,1,1,20,0,0,15,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1125,Central Region,0,0.12,10.0,10.0,10.0,10.0,1.27365,103.84354
113,2036711,57,House,Private room,1828.0,2006.0,2,1,20,347,42,14,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1125,Central Region,6,0.78,9.0,8.0,8.0,9.0,1.33903,103.88474
114,2090082,139,Serviced apartment,Entire home/apt,1942.0,1993.0,44,2,15,318,19,31,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1125,Central Region,10,1.48,9.0,9.0,9.0,9.0,1.29815,103.83895
115,2090132,139,Apartment,Entire home/apt,1972.0,2007.0,44,2,15,310,12,28,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,1125,Central Region,13,1.56,9.0,9.0,9.0,9.0,1.29549,103.83931
